curation_id	external_record_key	species_context	tf_symbol	target_symbol	reference_pmids	shared_existing_module_pmids	public_reference_reuse_pmids	public_reference_reuse_item_count	existing_modules	existing_edge_ids	public_module	corroboration_requirement	status
PUBTF-CUR-000067	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000068:a18c4784dad4	human	SMAD3	SERPINE1	10082515;10092624;10557285;10728705;10947953;10973944;11262418;11387330;11590145;11745435;12074587;12165866;12220633;12504095;12504596;12551947;12902338;15154911;15198928;15372629;15561701;15793284;15840021;16169848;16256024;16462766;17002919;17010940;17095240;17255134;17671970;17761371;18073068;18276785;18333754;18395096;19132220;19249354;19563779;19586629;19643931;19711352;19887897;20093492;20153726;20519507;20581097;21798735;21868450;22567107;22819829;22940605;23063463;23872073;24002653;24330518;24613410;24723976;25251599;26029993;26693246;27004408;27018336;27328942;27607351;29191563;29253845;29552126;31863152;33952801;35348194;35928937;37777319;9125213;9380693;9606191;9765209;9792626;9920806	10092624;11262418	10082515;10092624;10557285;10728705;10947953;10973944;11262418;11387330;11590145;11745435;12074587;12165866;12220633;12504095;12504596;12551947;12902338;15154911;15198928;15372629;15561701;15793284;15840021;16169848;16256024;16462766;17002919;17010940;17095240;17255134;17671970;17761371;18073068;18276785;18333754;18395096;19132220;19249354;19563779;19586629;19643931;19711352;19887897;20093492;20153726;20519507;20581097;21798735;21868450;22567107;22819829;22940605;23063463;23872073;24002653;24330518;24613410;24723976;25251599;26029993;26693246;27004408;27018336;27328942;27607351;29191563;29253845;29552126;31863152;33952801;35348194;35928937;37777319;9125213;9380693;9606191;9765209;9792626;9920806	10	22B;23B	M22B-E000377;M22B-E000394;M22B-E000395;M23B-E000702;M23B-E000703;M23B-E000704	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-000318	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000319:991e3b793e09	human	SMAD3	SMAD7	10559222;10753944;10823886;10839991;10843994;10887185;10973944;11262418;11527422;12761881;14521923;15183844;15579469;15886838;16187293;17096210;17135762;20544797;22656308;23781147;24646636;25145934;25450180;25483191;26422444;26474462;27722012;28622443;28983617;29102563;29695252;30946881;34905511;37882714	11262418	10559222;10753944;10823886;10839991;10843994;10887185;10973944;11262418;11527422;12761881;14521923;15183844;15579469;15886838;16187293;17096210;17135762;20544797;22656308;23781147;24646636;25145934;25450180;25483191;26422444;26474462;27722012;28622443;28983617;29102563;29695252;30946881;34905511;37882714	12	23B	M23B-E000702;M23B-E000703;M23B-E000704	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-000410	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000411:776c26e3b803	human	SMAD3	TGFB1	10708950;10843986;11262418;11438668;11451911;12761881;12767930;14617750;14633126;14688282;15191565;15905080;16355269;17003485;18616786;19014341;19214138;20231525;20869563;20890948;22974792;23694929;24042439;24441193;25348957;26481780;26553048;26950486;27073729;27835685;27894619;27974707;29191563;29222115;29530598;29558695;29632840;29704604;29956752;30150789;30589983;31694906;33340783;33538080;33546553;34026458;34737009;35525237;35928937;36046983;36054548;36402791;36474625;37195554;37275763;37882714	11262418	10708950;10843986;11262418;11438668;11451911;12761881;12767930;14617750;14633126;14688282;15191565;15905080;16355269;17003485;18616786;19014341;19214138;20231525;20869563;20890948;22974792;23694929;24042439;24441193;25348957;26481780;26553048;26950486;27073729;27835685;27894619;27974707;29191563;29222115;29530598;29558695;29632840;29704604;29956752;30150789;30589983;31694906;33340783;33538080;33546553;34026458;34737009;35525237;35928937;36046983;36054548;36402791;36474625;37195554;37275763;37882714	10	23B	M23B-E000702;M23B-E000703;M23B-E000704	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-000472	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000473:bc8b0d339d6b	human	SREBF1	ACLY	10585467;10777536;10801800;11546755;11994399;17655900;19699314;25339766;31830561;34311471;34974159;35227773;36251722	35227773	10585467;10777536;10801800;11546755;11994399;17655900;19699314;25339766;31830561;34311471;34974159;35227773;36251722	9	23B	M23B-E000435;M23B-E000436	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-000617	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000618:598f9f1ac265	human	NFKB1	MMP9	10051290;10359016;10364303;10550743;10580107;10675223;10738245;10744729;10811139;10943866;11057870;11060311;11118032;11150324;11376631;11426939;11464285;11704541;11830485;11977651;11981761;12105194;12168795;12193473;12356580;12387824;12531895;12589822;12618764;12649266;12745093;12786942;12794156;12807725;12810681;12844404;12894587;12907607;12947137;12958623;13679081;14600595;14630924;14657275;14689584;14715692;14724072;14755547;14984207;15014040;15056843;15086314;15090542;15131058;15132991;15169910;15175338;15194008;15217903;15252041;15256061;15256475;15474489;15522912;15536164;15576319;15605368;15627474;15657063;15688415;15699164;15708369;15710601;15712212;15728660;15800029;15809093;15811958;15838484;15848174;15929167;15946568;15949266;15956726;15993649;16014933;16102725;16166739;16181613;16219905;16222703;16230421;16258364;16277838;16288746;16303143;16317118;16340751;16356124;16380122;16417466;16490592;16510599;16520344;16551868;16554298;16624086;16624823;16687076;16691505;16720051;16732316;16780951;16785236;16795041;16816114;16823875;16862172;16882875;16885366;16924232;16953115;16966432;16999937;17011110;17038510;17049831;17052690;17055343;17067317;17077165;17114179;17121913;17121921;17121934;17122129;17158602;17174275;17186550;17187368;17200110;17202418;17222798;17240450;17244487;17289798;17291458;17311279;17316946;17334233;17334234;17357478;17382908;17387141;17404102;17409440;17426140;17439942;17442980;17464186;17498959;17510309;17516865;17543481;17560598;17563745;17640082;17640567;17669387;17673602;17763449;17785205;17828308;17880928;17897957;17916907;17922642;17988825;17996675;18024477;18056465;18070596;18088599;18090157;18097625;18177935;18181170;18222174;18226269;18279176;18298869;18336852;18345028;18356846;18357389;18381954;18397859;18458097;18496150;18499341;18504431;18528859;18566231;18567808;18567920;18593939;18600306;18606063;18710428;18775460;18801463;18804415;18834856;18835982;18843978;18850224;18852134;18952368;18974130;18974397;19074147;19110045;19219072;19287189;19290049;19298660;19303700;19320436;19334035;19375915;19418353;19420016;19429378;19447587;19454280;19475568;19503095;19539355;19594013;19616091;19616522;19623659;19626678;19631264;19662350;19706153;19735646;19758322;19775294;19782948;19783786;19796390;19810018;19857058;19883646;19887045;19889203;19933377;19935719;19943262;19962414;19969058;20020446;20021931;20038310;20043135;20052673;20060025;20073580;20082219;20093109;20103608;20107538;20138977;20152819;20155630;20166242;20188714;20204677;20207476;20299740;20332214;20332461;20360625;20367887;20381234;20418905;20424515;20425121;20455997;20458747;20509140;20511184;20515776;20521099;20527725;20564628;20568116;20576605;20590608;20617373;20630610;20638438;20638679;20649564;20652762;20654108;20674992;20678173;20693392;20696233;20718733;20813982;20821288;20864511;20930110;21028821;21029262;21042766;21062258;21089054;21089680;21139230;21187089;21238464;21262201;21316417;21327328;21354255;21354279;21402702;21409686;21419296;21428909;21453692;21468574;21479633;21484229;21491088;21502320;21544801;21547674;21549115;21570392;21625419;21628889;21679500;21713380;21718298;21719740;21726060;21742938;21760911;21762266;21777419;21777517;21805048;21805838;21826183;21840940;21845471;21856755;21865725;21870211;21882257;21900746;21925496;21936403;21960069;21963718;21993858;22007514;22033475;22065587;22075980;22079475;22138288;22140092;22229442;22244537;22301282;22321809;22322442;22351692;22363545;22364165;22367780;22407817;22419430;22459175;22465218;22480333;22488409;22503685;22503731;22560878;22573809;22575763;22587999;22610349;22619232;22634262;22640735;22683533;22683914;22689577;22696189;22705379;22705584;22707304;22710811;22710862;22740037;22762853;22773582;22825655;22825757;22829602;22835547;22842850;22858579;22887854;22892758;22918473;22921746;22926441;22941057;22950834;22954486;22960198;22962576;22967049;23050001;23070092;23086737;23114726;23151889;23161884;23170789;23224948;23226801;23238437;23242121;23255946;23258989;23269273;23271730;23292685;23298905;23341882;23344254;23381601;23456480;23505411;23505448;23517828;23531248;23533599;23534468;23535840;23538445;23615261;23615710;23618129;23664424;23671446;23738323;23754208;23770289;23774208;23792447;23801886;23807180;23835612;23861949;23870999;23884427;23887626;23932824;23933110;23969530;23985774;23997800;24036215;24047237;24116146;24117795;24124747;24130925;24137258;24140068;24141263;24146961;24173318;24174064;24177576;24205091;24211200;24226295;24233024;24265116;24285420;24286317;24287876;24314202;24333868;24340014;24401903;24424498;24433534;24502696;24504262;24531845;24552146;24579693;24604087;24613819;24632303;24638915;24641665;24673410;24677090;24704833;24735540;24755270;24756245;24785328;24825862;24829218;24858419;24859325;24859472;24867094;24878898;24885456;24894401;24895811;24905806;24909202;24929186;24953855;24962570;24964901;25000305;25053111;25069874;25083991;25134539;25168152;25174454;25174603;25175278;25177029;25190466;25200491;25217963;25245054;25270791;25305454;25316568;25329315;25345539;25358651;25466202;25475966;25494317;25496832;25518925;25597879;25613482;25622756;25633045;25633440;25656647;25670016;25692286;25698902;25708621;25738799;25739392;25757594;25797437;25811800;25863259;25866363;25888829;25889878;25921632;25931987;25941985;25993292;26044736;26079889;26101063;26115086;26171065;26171858;26259977;26260845;26261502;26283590;26310874;26322830;26367181;26390181;26397194;26415806;26427115;26429875;26433658;26446078;26482853;26497035;26514923;26544695;26546505;26551397;26607092;26662850;26667450;26692372;26692927;26715272;26717978;26730736;26732239;26778001;26796262;26847533;26883442;26884859;26898796;26911804;26937641;26959057;27039805;27074554;27087131;27125675;27127879;27142785;27216153;27224551;27242913;27262063;27268917;27278287;27347181;27374114;27398151;27401290;27425890;27441657;27470348;27477287;27511296;27573547;27634460;27658723;27667548;27689325;27727280;27776550;27816443;27845845;27868311;27895783;27904678;27979664;27982283;28000518;28000853;28030785;28035371;28035380;28060552;28075446;28105703;28123548;28131916;28176369;28179581;28239848;28261097;28292711;28303501;28402272;28419983;28440462;28442889;28496416;28639050;28673005;28704236;28743103;28780075;28835032;28849217;28902345;28933726;28957799;28968951;28969015;28969043;28982539;28983587;29018444;29054963;29088737;29107105;29108231;29137326;29149648;29157812;29196260;29285098;29390073;29399695;29536537;29559796;29621430;29650964;29658601;29773987;29849502;29897257;29908722;29949169;30005060;30015835;30018717;30032159;30088235;30100736;30112359;30230565;30242542;30263350;30283454;30354818;30359168;30362152;30483730;30519264;30525244;30562971;30590137;30662594;30685603;30726934;30727918;30728051;30734664;30766661;30801954;30856602;31001118;31054069;31072419;31087163;31096773;31100403;31154059;31173276;31211513;31235816;31266502;31315278;31318086;31322192;31324733;31346317;31415587;31461951;31466523;31481647;31515638;31572058;31583048;31658764;31720987;31729763;31755573;31759370;31783821;31811815;31885575;31919471;31926558;31964465;31966870;31971835;31988091;32161013;32244288;32399774;32408577;32455624;32466182;32581212;32595631;32708030;32790097;32843639;33013867;33021341;33059651;33155655;33198776;33249185;33292347;33307322;33406839;33430865;33534099;33566449;33572115;33582453;33596041;33636289;33730072;33760219;33841150;33900049;33962660;34093777;34310658;34418511;34483846;34545708;34562672;34626302;34626444;34638797;34663388;34772908;34803705;34829669;34943075;35064700;35071470;35185080;35241518;35431500;35433830;35563563;35631208;35651016;35740292;35840633;35954126;36027851;36184517;36364935;36427776;36432152;36580668;36610522;36640900;36687217;36712528;36739765;36841467;36865920;36872359;36900342;36933193;37007044;37132750;37198330;37246623;37251076;37268061;37436232;37813067;37919797;37944673;37963919;37964635;37977037;38203454;7860222;9500201;9520415;9679762;9748266;9755853	33021341	10051290;10359016;10364303;10550743;10580107;10675223;10738245;10744729;10811139;10943866;11057870;11060311;11118032;11150324;11376631;11426939;11464285;11704541;11830485;11977651;11981761;12105194;12168795;12193473;12356580;12387824;12531895;12589822;12618764;12649266;12745093;12786942;12794156;12807725;12810681;12844404;12894587;12907607;12947137;12958623;13679081;14600595;14630924;14657275;14689584;14715692;14724072;14755547;14984207;15014040;15056843;15086314;15090542;15131058;15132991;15169910;15175338;15194008;15217903;15252041;15256061;15256475;15474489;15522912;15536164;15576319;15605368;15627474;15657063;15688415;15699164;15708369;15710601;15712212;15728660;15800029;15809093;15811958;15838484;15848174;15929167;15946568;15949266;15956726;15993649;16014933;16102725;16166739;16181613;16219905;16222703;16230421;16258364;16277838;16288746;16303143;16317118;16340751;16356124;16380122;16417466;16490592;16510599;16520344;16551868;16554298;16624086;16624823;16687076;16691505;16720051;16732316;16780951;16785236;16795041;16816114;16823875;16862172;16882875;16885366;16924232;16953115;16966432;16999937;17011110;17038510;17049831;17052690;17055343;17067317;17077165;17114179;17121913;17121921;17121934;17122129;17158602;17174275;17186550;17187368;17200110;17202418;17222798;17240450;17244487;17289798;17291458;17311279;17316946;17334233;17334234;17357478;17382908;17387141;17404102;17409440;17426140;17439942;17442980;17464186;17498959;17510309;17516865;17543481;17560598;17563745;17640082;17640567;17669387;17673602;17763449;17785205;17828308;17880928;17897957;17916907;17922642;17988825;17996675;18024477;18056465;18070596;18088599;18090157;18097625;18177935;18181170;18222174;18226269;18279176;18298869;18336852;18345028;18356846;18357389;18381954;18397859;18458097;18496150;18499341;18504431;18528859;18566231;18567808;18567920;18593939;18600306;18606063;18710428;18775460;18801463;18804415;18834856;18835982;18843978;18850224;18852134;18952368;18974130;18974397;19074147;19110045;19219072;19287189;19290049;19298660;19303700;19320436;19334035;19375915;19418353;19420016;19429378;19447587;19454280;19475568;19503095;19539355;19594013;19616091;19616522;19623659;19626678;19631264;19662350;19706153;19735646;19758322;19775294;19782948;19783786;19796390;19810018;19857058;19883646;19887045;19889203;19933377;19935719;19943262;19962414;19969058;20020446;20021931;20038310;20043135;20052673;20060025;20073580;20082219;20093109;20103608;20107538;20138977;20152819;20155630;20166242;20188714;20204677;20207476;20299740;20332214;20332461;20360625;20367887;20381234;20418905;20424515;20425121;20455997;20458747;20509140;20511184;20515776;20521099;20527725;20564628;20568116;20576605;20590608;20617373;20630610;20638438;20638679;20649564;20652762;20654108;20674992;20678173;20693392;20696233;20718733;20813982;20821288;20864511;20930110;21028821;21029262;21042766;21062258;21089054;21089680;21139230;21187089;21238464;21262201;21316417;21327328;21354255;21354279;21402702;21409686;21419296;21428909;21453692;21468574;21479633;21484229;21491088;21502320;21544801;21547674;21549115;21570392;21625419;21628889;21679500;21713380;21718298;21719740;21726060;21742938;21760911;21762266;21777419;21777517;21805048;21805838;21826183;21840940;21845471;21856755;21865725;21870211;21882257;21900746;21925496;21936403;21960069;21963718;21993858;22007514;22033475;22065587;22075980;22079475;22138288;22140092;22229442;22244537;22301282;22321809;22322442;22351692;22363545;22364165;22367780;22407817;22419430;22459175;22465218;22480333;22488409;22503685;22503731;22560878;22573809;22575763;22587999;22610349;22619232;22634262;22640735;22683533;22683914;22689577;22696189;22705379;22705584;22707304;22710811;22710862;22740037;22762853;22773582;22825655;22825757;22829602;22835547;22842850;22858579;22887854;22892758;22918473;22921746;22926441;22941057;22950834;22954486;22960198;22962576;22967049;23050001;23070092;23086737;23114726;23151889;23161884;23170789;23224948;23226801;23238437;23242121;23255946;23258989;23269273;23271730;23292685;23298905;23341882;23344254;23381601;23456480;23505411;23505448;23517828;23531248;23533599;23534468;23535840;23538445;23615261;23615710;23618129;23664424;23671446;23738323;23754208;23770289;23774208;23792447;23801886;23807180;23835612;23861949;23870999;23884427;23887626;23932824;23933110;23969530;23985774;23997800;24036215;24047237;24116146;24117795;24124747;24130925;24137258;24140068;24141263;24146961;24173318;24174064;24177576;24205091;24211200;24226295;24233024;24265116;24285420;24286317;24287876;24314202;24333868;24340014;24401903;24424498;24433534;24502696;24504262;24531845;24552146;24579693;24604087;24613819;24632303;24638915;24641665;24673410;24677090;24704833;24735540;24755270;24756245;24785328;24825862;24829218;24858419;24859325;24859472;24867094;24878898;24885456;24894401;24895811;24905806;24909202;24929186;24953855;24962570;24964901;25000305;25053111;25069874;25083991;25134539;25168152;25174454;25174603;25175278;25177029;25190466;25200491;25217963;25245054;25270791;25305454;25316568;25329315;25345539;25358651;25466202;25475966;25494317;25496832;25518925;25597879;25613482;25622756;25633045;25633440;25656647;25670016;25692286;25698902;25708621;25738799;25739392;25757594;25797437;25811800;25863259;25866363;25888829;25889878;25921632;25931987;25941985;25993292;26044736;26079889;26101063;26115086;26171065;26171858;26259977;26260845;26261502;26283590;26310874;26322830;26367181;26390181;26397194;26415806;26427115;26429875;26433658;26446078;26482853;26497035;26514923;26544695;26546505;26551397;26607092;26662850;26667450;26692372;26692927;26715272;26717978;26730736;26732239;26778001;26796262;26847533;26883442;26884859;26898796;26911804;26937641;26959057;27039805;27074554;27087131;27125675;27127879;27142785;27216153;27224551;27242913;27262063;27268917;27278287;27347181;27374114;27398151;27401290;27425890;27441657;27470348;27477287;27511296;27573547;27634460;27658723;27667548;27689325;27727280;27776550;27816443;27845845;27868311;27895783;27904678;27979664;27982283;28000518;28000853;28030785;28035371;28035380;28060552;28075446;28105703;28123548;28131916;28176369;28179581;28239848;28261097;28292711;28303501;28402272;28419983;28440462;28442889;28496416;28639050;28673005;28704236;28743103;28780075;28835032;28849217;28902345;28933726;28957799;28968951;28969015;28969043;28982539;28983587;29018444;29054963;29088737;29107105;29108231;29137326;29149648;29157812;29196260;29285098;29390073;29399695;29536537;29559796;29621430;29650964;29658601;29773987;29849502;29897257;29908722;29949169;30005060;30015835;30018717;30032159;30088235;30100736;30112359;30230565;30242542;30263350;30283454;30354818;30359168;30362152;30483730;30519264;30525244;30562971;30590137;30662594;30685603;30726934;30727918;30728051;30734664;30766661;30801954;30856602;31001118;31054069;31072419;31087163;31096773;31100403;31154059;31173276;31211513;31235816;31266502;31315278;31318086;31322192;31324733;31346317;31415587;31461951;31466523;31481647;31515638;31572058;31583048;31658764;31720987;31729763;31755573;31759370;31783821;31811815;31885575;31919471;31926558;31964465;31966870;31971835;31988091;32161013;32244288;32399774;32408577;32455624;32466182;32581212;32595631;32708030;32790097;32843639;33013867;33021341;33059651;33155655;33198776;33249185;33292347;33307322;33406839;33430865;33534099;33566449;33572115;33582453;33596041;33636289;33730072;33760219;33841150;33900049;33962660;34093777;34310658;34418511;34483846;34545708;34562672;34626302;34626444;34638797;34663388;34772908;34803705;34829669;34943075;35064700;35071470;35185080;35241518;35431500;35433830;35563563;35631208;35651016;35740292;35840633;35954126;36027851;36184517;36364935;36427776;36432152;36580668;36610522;36640900;36687217;36712528;36739765;36841467;36865920;36872359;36900342;36933193;37007044;37132750;37198330;37246623;37251076;37268061;37436232;37813067;37919797;37944673;37963919;37964635;37977037;38203454;7860222;9500201;9520415;9679762;9748266;9755853	56	23B	M23B-E000267;M23B-E001022	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-002618	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002619:bf21818b6c56	human	NFKB1	CXCL10	10559511;10756005;10843708;11752021;12946268;14597565;15226358;15322215;15578697;15764644;16094077;16140757;16181431;16253303;16265667;16282450;16484540;16581825;16635481;16818736;16982926;17255201;17274000;17328963;17386409;17449583;17467667;17475341;17668902;17709485;17911406;17970697;18046562;18198374;18985732;19342664;19426678;19447045;19472212;19479051;19541350;19660139;19764067;19921217;19929594;19939453;19941336;20008294;20164184;20579762;20650898;20680966;20833730;20948191;21062959;21167783;21249144;21257964;21324712;21497908;21673103;21778165;21778270;21945666;22030398;22030901;22038897;22387292;22653339;22677557;22732725;23333920;23376103;23707530;23740952;23872390;23932714;24044884;24257594;24336331;24701034;25033426;25135111;25199798;25342131;25493279;25553802;25941940;26007645;26134299;26152633;26156812;26891076;26895737;27288535;28065589;28209986;28233092;28316371;28726298;28753407;28760660;29369006;29532873;29549479;29630425;29720977;29997615;30001342;30177620;30250011;30400920;30827017;30935974;31376731;31523027;31759853;31900460;32151958;32198421;32432099;32532953;32898592;32971847;33067379;33200485;33374641;33576459;33764312;34103690;34117115;34220850;34291079;34345201;34531848;34537189;34949827;35005949;35043976;35222701;35453507;35683585;35877425;37089089;37475184;37487374;37536000;37903782;37977037;7897255;9317146	22677557	10559511;10756005;10843708;11752021;12946268;14597565;15226358;15322215;15578697;15764644;16094077;16140757;16181431;16253303;16265667;16282450;16484540;16581825;16635481;16818736;16982926;17255201;17274000;17328963;17386409;17449583;17467667;17475341;17668902;17709485;17911406;17970697;18046562;18198374;18985732;19342664;19426678;19447045;19472212;19479051;19541350;19660139;19764067;19921217;19929594;19939453;19941336;20008294;20164184;20579762;20650898;20680966;20833730;20948191;21062959;21167783;21249144;21257964;21324712;21497908;21673103;21778165;21778270;21945666;22030398;22030901;22038897;22387292;22653339;22677557;22732725;23333920;23376103;23707530;23740952;23872390;23932714;24044884;24257594;24336331;24701034;25033426;25135111;25199798;25342131;25493279;25553802;25941940;26007645;26134299;26152633;26156812;26891076;26895737;27288535;28065589;28209986;28233092;28316371;28726298;28753407;28760660;29369006;29532873;29549479;29630425;29720977;29997615;30001342;30177620;30250011;30400920;30827017;30935974;31376731;31523027;31759853;31900460;32151958;32198421;32432099;32532953;32898592;32971847;33067379;33200485;33374641;33576459;33764312;34103690;34117115;34220850;34291079;34345201;34531848;34537189;34949827;35005949;35043976;35222701;35453507;35683585;35877425;37089089;37475184;37487374;37536000;37903782;37977037;7897255;9317146	42	23B	M23B-E000234;M23B-E000235	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-002619	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002620:11200c2d1582	human	RELA	CXCL10	10559511;10756005;10843708;11752021;12946268;14597565;15226358;15322215;15578697;15764644;16094077;16140757;16181431;16253303;16265667;16282450;16484540;16581825;16635481;16818736;16982926;17255201;17274000;17328963;17386409;17449583;17467667;17475341;17668902;17709485;17911406;17970697;18046562;18198374;18985732;19342664;19426678;19447045;19472212;19479051;19541350;19660139;19764067;19921217;19929594;19939453;19941336;20008294;20164184;20650898;20680966;20833730;20948191;21062959;21167783;21249144;21257964;21324712;21497908;21673103;21778165;21778270;21945666;22030398;22030901;22038897;22387292;22653339;22677557;22732725;23333920;23376103;23707530;23740952;23872390;23932714;24044884;24257594;24336331;24701034;25033426;25135111;25199798;25342131;25493279;25553802;25941940;26007645;26134299;26152633;26156812;26891076;26895737;27288535;28065589;28209986;28233092;28316371;28726298;28753407;28760660;29369006;29532873;29549479;29630425;29720977;29997615;30001342;30177620;30250011;30400920;30827017;30935974;31376731;31523027;31759853;31900460;32151958;32198421;32432099;32532953;32898592;32971847;33067379;33200485;33374641;33576459;33764312;34103690;34117115;34220850;34291079;34345201;34531848;34537189;34949827;35005949;35043976;35222701;35453507;35683585;35877425;37089089;37475184;37487374;37536000;37903782;37977037;7897255;9317146	22677557	10559511;10756005;10843708;11752021;12946268;14597565;15226358;15322215;15578697;15764644;16094077;16140757;16181431;16253303;16265667;16282450;16484540;16581825;16635481;16818736;16982926;17255201;17274000;17328963;17386409;17449583;17467667;17475341;17668902;17709485;17911406;17970697;18046562;18198374;18985732;19342664;19426678;19447045;19472212;19479051;19541350;19660139;19764067;19921217;19929594;19939453;19941336;20008294;20164184;20650898;20680966;20833730;20948191;21062959;21167783;21249144;21257964;21324712;21497908;21673103;21778165;21778270;21945666;22030398;22030901;22038897;22387292;22653339;22677557;22732725;23333920;23376103;23707530;23740952;23872390;23932714;24044884;24257594;24336331;24701034;25033426;25135111;25199798;25342131;25493279;25553802;25941940;26007645;26134299;26152633;26156812;26891076;26895737;27288535;28065589;28209986;28233092;28316371;28726298;28753407;28760660;29369006;29532873;29549479;29630425;29720977;29997615;30001342;30177620;30250011;30400920;30827017;30935974;31376731;31523027;31759853;31900460;32151958;32198421;32432099;32532953;32898592;32971847;33067379;33200485;33374641;33576459;33764312;34103690;34117115;34220850;34291079;34345201;34531848;34537189;34949827;35005949;35043976;35222701;35453507;35683585;35877425;37089089;37475184;37487374;37536000;37903782;37977037;7897255;9317146	42	23B	M23B-E000234;M23B-E000235	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-002772	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002773:0cfcc4664d91	human	TP53	DDR1	12628922;18431400;21398698;23314357;32492656;8977099	21398698	12628922;18431400;21398698;23314357;32492656;8977099	80	23B	M23B-E000362;M23B-E000363;M23B-E000364	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-002856	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002857:38d9ef3fc34f	human	RELA	CCL3	11342414;11716760;12032188;12165280;12183568;15243005;15254653;15597147;15752251;15842806;15860795;16497877;16918500;16982926;17240450;17386409;17494633;17546589;17707233;18239062;18941174;19706153;19897483;20494824;20702408;20869878;22187158;22677557;22732725;22965302;23233369;23633492;24116893;24989845;25116007;25264740;25623171;26776161;27286066;27310357;27743458;29274626;29759145;30609049;30816669;31260942;32751118;36326553;8355682	22677557	11342414;11716760;12032188;12165280;12183568;15243005;15254653;15597147;15752251;15842806;15860795;16497877;16918500;16982926;17240450;17386409;17494633;17546589;17707233;18239062;18941174;19706153;19897483;20494824;20702408;20869878;22187158;22677557;22732725;22965302;23233369;23633492;24116893;24989845;25116007;25264740;25623171;26776161;27286066;27310357;27743458;29274626;29759145;30609049;30816669;31260942;32751118;36326553;8355682	43	23B	M23B-E000234;M23B-E000235	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
PUBTF-CUR-004385	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004386:c4652786a908	human	NFKB1	CCL3	11342414;11716760;12032188;12165280;12183568;15243005;15254653;15597147;15752251;15842806;15860795;16497877;16918500;16982926;17240450;17386409;17494633;17546589;17707233;18239062;18941174;19706153;19897483;20494824;20702408;20869878;22187158;22677557;22732725;22965302;23233369;23633492;24116893;24989845;25116007;25264740;25623171;26776161;27286066;27310357;27743458;29274626;29759145;30609049;30816669;31260942;32751118;33168738;34669155;36326553;37055826;8355682;9802985	22677557	11342414;11716760;12032188;12165280;12183568;15243005;15254653;15597147;15752251;15842806;15860795;16497877;16918500;16982926;17240450;17386409;17494633;17546589;17707233;18239062;18941174;19706153;19897483;20494824;20702408;20869878;22187158;22677557;22732725;22965302;23233369;23633492;24116893;24989845;25116007;25264740;25623171;26776161;27286066;27310357;27743458;29274626;29759145;30609049;30816669;31260942;32751118;33168738;34669155;36326553;37055826;8355682;9802985	43	23B	M23B-E000234;M23B-E000235	22A/22B	Find an independent supporting paper for at least one reused item before promoting the shared-paper claim.	needs_corroboration
